Visits,URI,Controller,Method
admin/tags-report,App\Http\Controllers\AdminController,tagReport
admin/tags/create,App\Http\Controllers\TagsController,getIndex
admin/tags/{tag},App\Http\Controllers\TagsController,getIndex
admin/tags/{tag},App\Http\Controllers\TagsController,getIndex
admin/tags/{tag},App\Http\Controllers\TagsController,getIndex
admin/tags/{tag}/edit,App\Http\Controllers\TagsController,getIndex
admin/test/cache/get,App\Http\Controllers\CacheTestController,getCache
admin/test/cache/set,App\Http\Controllers\CacheTestController,setCache
admin/update-sponsors-by-name/{id},App\Http\Controllers\AdminController,updateContentSponsorsByName
admin/user/new,App\Http\Controllers\AdminController,getUserNew
admin/user/new,App\Http\Controllers\AdminController,postUserNew
admin/user/remove-story/{user_id},App\Http\Controllers\AdminController,storyLinkRemove
admin/user/upload,App\Http\Controllers\AdminController,userUploadPhoto
admin/users/create-slugs,App\Http\Controllers\BiosController,createSlug
admin/videos/create,App\Http\Controllers\AdminVideosController,create
admin/videos/stats,App\Http\Controllers\VideoStatsController,showVideoStats
admin/videos/stats,App\Http\Controllers\VideoStatsController,showVideoStats
admin/videos/statsCsv,App\Http\Controllers\VideoStatsController,postGenerateStatsCsv
admin/videos/{video},App\Http\Controllers\AdminVideosController,destroy
admin/videos/{video},App\Http\Controllers\AdminVideosController,show
admin/videos/{video},App\Http\Controllers\AdminVideosController,update
admin/videos/{video}/edit,App\Http\Controllers\AdminVideosController,edit
